 variables = "i","f","fp","fdp","r_eta","r_eta_avg","r_eta_avg_prime","y0","y0_a
 vg","y0_avg_prime"
      0.000000000000000000E+00      0.000000000000000000E+00      0.000000000000000000E+00      0.130617522359483496E+01      0.824447401349769682E+00      0.000000000000000000E+00      0.825828584081934380E+00      0.100000000000000000E+01      0.000000000000000000E+00      0.970701193511400162E+00
      0.100000000000000006E+00      0.544180458621346553E-02      0.130602124422277532E+00      0.130584355706811284E+01      0.827209766814098968E+00      0.825828584081934464E-01      0.825672530733402632E+00      0.941402387022800102E+00      0.970701193511400162E-01      0.941410324200025017E+00
      0.200000000000000011E+00      0.239417884545666017E-01      0.261132017401548233E+00      0.130420999147862737E+01      0.823823187955643021E+00      0.165134506146680543E+00     -0.108818842582868913E+01      0.882836522754499975E+00      0.188282064840005009E+00     -0.117730600398266860E+01
      0.300000000000000044E+00      0.554845882365281318E-01      0.391376973955985474E+00      0.129946281553978360E+01      0.814284136222589883E+00      0.247039872355592188E+00     -0.217663782289743635E+01      0.824373796872757025E+00      0.273642580821367887E+00     -0.239383547219597759E+01
      0.400000000000000022E+00      0.100026653242678495E+00      0.520956516039183581E+00      0.128995116207822713E+01      0.798623973099608753E+00      0.327685277821702148E+00     -0.325662255830540381E+01      0.766141828052448681E+00      0.353168362067628194E+00     -0.353265153592379644E+01
      0.500000000000000000E+00      0.157479606540689626E+00      0.649328769062885169E+00      0.127412036713350663E+01      0.776942204495220889E+00      0.406463586701443669E+00     -0.432012593968291281E+01      0.708320904712583910E+00      0.426891498705879835E+00     -0.459407838737379137E+01
      0.600000000000000089E+00      0.227694593124270650E+00      0.775803083338044486E+00      0.125058603357624998E+01      0.749437900375535593E+00      0.482782591944981521E+00     -0.535927537518190622E+01      0.651140789831351707E+00      0.494864583433076544E+00     -0.557863618684140938E+01
      0.700000000000000067E+00      0.310448219457962027E+00      0.899560711722500184E+00      0.121822284035147765E+01      0.716436915127320884E+00      0.556076332720124245E+00     -0.636644250925129818E+01      0.594875514510104786E+00      0.557165398650149357E+00     -0.648710555300702563E+01
      0.800000000000000044E+00      0.405430941732437988E+00      0.101968467638462679E+01      0.117625953784062309E+01      0.678411919955486775E+00      0.625818774474264594E+00     -0.733437658396616854E+01      0.539835830543966333E+00      0.613900965902852924E+00     -0.732058538774546808E+01
      0.900000000000000022E+00      0.512238833958145623E+00      0.113519897647316825E+01      0.112436863624393713E+01      0.635992034869906187E+00      0.691538972215534287E+00     -0.825636368766340034E+01      0.486359185697983920E+00      0.665210716714950467E+00     -0.808054220834454284E+01
      0.100000000000000000E+01      0.630369631367494798E+00      0.124511604817366339E+01      0.106273727872728352E+01      0.589959223726487125E+00      0.752836535145353869E+00     -0.912640164061405557E+01      0.434797335873905344E+00      0.711268542793545011E+00     -0.876884829869221605E+01
      0.110000000000000009E+01      0.759223778454821585E+00      0.134849001607140351E+01      0.992105526909180524E+00      0.541229695375940900E+00      0.809395981100475392E+00     -0.993937748340241356E+01      0.385501998099679666E+00      0.752283509492224223E+00     -0.938780601482908317E+01
      0.120000000000000018E+01      0.898110909352349718E+00      0.144447197413421446E+01      0.913760431546833174E+00      0.490820292670257008E+00      0.860998480502785157E+00     -0.106912324261656391E+02      0.338809245620907584E+00      0.788499071678253616E+00     -0.994015589315242565E+01
      0.130000000000000004E+01      0.104626176881163646E+01      0.153236255908624641E+01      0.829479039517652561E+00      0.439802010319222281E+00      0.907529595652259213E+00     -0.113790982646046963E+02      0.295023608696434403E+00      0.820190714394120834E+00     -0.104290668296753637E+02
      0.140000000000000013E+01      0.120284508800731027E+01      0.161165667770504317E+01      0.741420479466549764E+00      0.389244943261114362E+00      0.948981943331276057E+00     -0.120013901643782965E+02      0.254403025045466136E+00      0.847662046081215759E+00     -0.108581075100306030E+02
      0.150000000000000000E+01      0.136698842616056337E+01      0.168207560046549398E+01      0.651975357745756545E+00      0.340160618487765298E+00      0.985452221418720131E+00     -0.125578436291945188E+02      0.217145840571072696E+00      0.871239489362042763E+00     -0.112311994150257313E+02
      0.160000000000000009E+01      0.153780155444251698E+01      0.174358278009506096E+01      0.563588250486261266E+00      0.293448351546244268E+00      0.101713266992042040E+01     -0.130494883176874570E+02      0.183380968073253187E+00      0.891265829794258835E+00     -0.115525530061181581E+02
      0.170000000000000018E+01      0.171440066781536449E+01      0.179638156740351285E+01      0.478574343978281302E+00      0.249851756366609806E+00      0.104429767531606332E+01     -0.134785576540301903E+02      0.153162067497209869E+00      0.908092981572782065E+00     -0.118265899752213119E+02
      0.180000000000000004E+01      0.189593161872282789E+01      0.184089518923549567E+01      0.398952892633407608E+00      0.209929901695842774E+00      0.106728675821918606E+01     -0.138483399923001631E+02      0.126466241992099465E+00      0.922074397047247474E+00     -0.120578555713776705E+02
      0.190000000000000013E+01      0.208159049554405584E+01      0.187773153285252592E+01      0.326317606991650300E+00      0.174045233611926642E+00      0.108648551498457446E+01     -0.141629833257877316E+02      0.103197300545807238E+00      0.933557574174142979E+00     -0.122509258451806886E+02
      0.200000000000000000E+01      0.227064020010663725E+01      0.190763704670037093E+01      0.261757867860778815E+00      0.142367838558904364E+00      0.110230616859311570E+01     -0.144272701017539244E+02      0.831931862463916594E-01      0.942877098513752898E+00     -0.124103150627640648E+02
      0.210000000000000009E+01      0.246242215724428926E+01      0.193144510950242099E+01      0.205836208409078431E+00      0.114893468099306811E+00      0.111516923392602640E+01     -0.146463808571056386E+02      0.662367768950885005E-01      0.950348596670827050E+00     -0.125403884699596500E+02
